site,name,room,type,floor,analyte,conc.,category,site typ,OSHA 8hr,season,year,city,zip
040,Teaching Tree,Bears,classroom,01,ethane,11.342,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,ethene,0.858,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,propane,6.787,straight chain,school/day program,997959.1837,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,propene,0.162,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,i-butane,1.367,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-butane,2.848,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,ethyne,0.595,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,t-2-butene,0.027,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,1-butene,0.034,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,c-2-butene,0.029,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,cyclopentane,0.068,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,i-pentane,0.996,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-pentane,0.917,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,t-2-pentene,0.004,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,1-pentene,0.009,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,cis-2-pentene,0.006,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-hexane,0.323,straight chain,school/day program,510675.3307,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,isoprene,0.015,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"2,4 dimethylpentane",0.02,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-heptane,0.078,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,benzene,0.141,btex,school/day program,998.5341186,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,cyclohexane,0.079,aromatic,school/day program,305043.9639,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"2,3-dimethylpentane",0.056,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,2-methylhexane,0.021,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,3-methylhexane,0.048,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"2,2,4-trimethylpentane",0.034,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,methylcyclohexane,0.067,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"2,3,4-trimethylpentane",0.006,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,toluene,0.222,btex,school/day program,200079.2273,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,2-methylheptane,0.025,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,3-methylheptane,0.018,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-octane,0.047,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,ethylbenzene,0.025,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,m+p-xylene,0.121,btex,school/day program,100176.6036,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,styrene,0.016,other,school/day program,100006.7211,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,o-xylene,0.029,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-nonane,0.031,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,isopropylbenzene,0.003,btex,school/day program,49839.83692,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-propylbenzene,0.011,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,3-ethyltoluene,0.019,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,4-ethyltoluene,0.01,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"1,3,5-trimethylbenzene",0.009,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,2-ethyltoluene,0.009,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"1,2,4-trimethylbenzene",0.03,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,n-decane,0.03,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"1,2,3-trimethylbenzene",0.012,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"1,3-diethylbenzene",0.008,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,"1,4-diethylbenzene",0.008,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,C2HCl3,13.1,chlorinted,school/day program,99936.4439,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,C2Cl4,25.6,chlorinted,school/day program,99982.50905,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,acetonitrile,0.398,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,acetaldehyde,2.898,aldehyde,school/day program,199818.3882,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,acetone,2.941,ketone,school/day program,1010330.579,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,isopropanol,1.381,alcohol,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,methylethylketone,0.272,other,school/day program,200048.537,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,butanol,0.074,alcohol,school/day program,98961.14409,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,a-pinene,0.017,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,b-pinene,0.002,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,limonene,0.022,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,camphene,0.006,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Bears,classroom,01,methane,2.181,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,ethane,47.717,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,ethene,15.806,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,propane,22.056,straight chain,school/day program,997959.1837,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,propene,0.638,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,i-butane,15.895,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-butane,3.401,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,ethyne,9.637,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,t-2-butene,0.032,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,1-butene,0.063,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,c-2-butene,0.028,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,cyclopentane,0.239,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,i-pentane,3.807,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-pentane,2.366,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,t-2-pentene,0.003,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,1-pentene,0.012,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,cis-2-pentene,0.009,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-hexane,0.292,straight chain,school/day program,510675.3307,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,isoprene,0.292,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"2,4 dimethylpentane",0.064,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-heptane,0.151,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,benzene,0.299,btex,school/day program,998.5341186,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,cyclohexane,0.055,aromatic,school/day program,305043.9639,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"2,3-dimethylpentane",0.046,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,2-methylhexane,0.039,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,3-methylhexane,0.049,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"2,2,4-trimethylpentane",0.029,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,methylcyclohexane,0.069,aromatic,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"2,3,4-trimethylpentane",0.004,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,toluene,0.917,btex,school/day program,200079.2273,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,2-methylheptane,0.057,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,3-methylheptane,0.018,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-octane,0.126,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,ethylbenzene,0.051,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,m+p-xylene,0.219,btex,school/day program,100176.6036,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,styrene,0.185,other,school/day program,100006.7211,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,o-xylene,0.081,btex,school/day program,100186.0399,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-nonane,0.053,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,isopropylbenzene,0.018,btex,school/day program,49839.83692,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-propylbenzene,0.011,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,3-ethyltoluene,0.024,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,4-ethyltoluene,0.018,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,3,5-trimethylbenzene",0.021,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,2-ethyltoluene,0.019,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,2,4-trimethylbenzene",0.054,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,n-decane,0.878,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,2,3-trimethylbenzene",0.021,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,3-diethylbenzene",0.002,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,"1,4-diethylbenzene",0.006,btex,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,C2HCl3,0,chlorinted,school/day program,99936.4439,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,C2Cl4,480.9,chlorinted,school/day program,99982.50905,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,acetonitrile,0.573,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,acetaldehyde,7.196,aldehyde,school/day program,199818.3882,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,acetone,8.827,ketone,school/day program,1010330.579,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,isopropanol,13.466,alcohol,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,methylethylketone,0.592,other,school/day program,200048.537,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,butanol,1.187,alcohol,school/day program,98961.14409,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,a-pinene,0.099,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,b-pinene,0.05,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,limonene,2.726,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,camphene,0.028,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Frogs,classroom,01,methane,2.52,other,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,ethane,32.232,straight chain,school/day program,0,fall,2023,Fort Collins,80524
040,Teaching Tree,Lesson Prep,office,02,ethene,10.145,straight chain,school/day program,0,fall,2023,Fort Collins,80524
